stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00107] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.05736] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.05743] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.05770] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.05784] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.05786] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.05787] added dtor for voice 0000000002BC6A30, func 0000000061BEEBB3
dtor     D               dtor.c:196  _al_register_destructor          [   0.05790] added dtor for mixer 0000000002BC7D20, func 0000000061BEA1B3
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.05792] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.05793] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.06265] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.06268] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.06280] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.06282] added dtor for sample_instance 0000000002BC8B70, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06285] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06286] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06287] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06291] added dtor for sample_instance 0000000002BC8CC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06294] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06296] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06297] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06299] added dtor for sample_instance 0000000002BC8E10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06301] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06302] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06303] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06305] added dtor for sample_instance 0000000002BC9280, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06306] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06307] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06308] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06310] added dtor for sample_instance 0000000002BCD3E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06312] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06325] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06327] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06330] added dtor for sample_instance 0000000002BCD970, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06331] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06332] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06333] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06335] added dtor for sample_instance 0000000002BCDEB0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06371] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06375] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06376] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06379] added dtor for sample_instance 0000000002BCDAC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06381] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06383] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06385] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06389] added dtor for sample_instance 0000000002BCE000, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06392] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06394] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06396] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06399] added dtor for sample_instance 0000000002BCE150, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06401] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06403] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06404] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06407] added dtor for sample_instance 0000000002BCDD60, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06408] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06410] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06412] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06413] added dtor for sample_instance 0000000002BCDC10, func 0000000061BE32C3
